,Incr_rate,HousePriceIndex,FutureGrowth,FutureValue,Appreciation
4095,409.3610698365527,0.04,1.04,417068.6149427201,74268.6149427201
4096,131.32530120481925,0.05,1.05,343064.4840000001,74264.48400000011
4097,184.26150121065373,0.039,1.039,426448.98926456366,74248.98926456366
4098,78.85024840312278,0.053,1.053,326243.8974313242,74243.89743132418
4099,141.99553239017126,0.042,1.042,399228.88498065056,74228.88498065056
4100,144.00554400554398,0.039,1.039,426327.9077798208,74227.90777982079
4101,89.0918860827512,0.039,1.039,426085.74481033493,74185.74481033493
4102,130.60989643268124,0.065,1.065,274565.36734849116,74165.36734849116
4103,63.99345335515548,0.065,1.065,274565.36734849116,74165.36734849116
4104,168.6686686686687,0.05,1.05,342553.9713750001,74153.97137500008
